#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,"is the main graphical user interface and window manager."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,sxhkd,"binds key."
,ttf-inconsolata,"is the monospace font of LARBS."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,vifm,"is an extensive terminal file manager that everyone likes."
,ed,"is the standard editor!"
,tree,"lists directory contents like trees. Used by vifm."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,thunderbird,"is for email, news, calendar, etc."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"an tidier vim with some useful features"
,i3blocks,"is the status bar."
,i3lock,"is the screen lock."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,networkmanager,"does exactly what it sounds like."
,newsboat,"is a terminal RSS client."
,firefox,"is the only program on LARBS your girlfriend has ever heard of."
,ttf-joypixels,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
A,ttf-symbola,"provides unicode and emoji symbols."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an intuitive ncurses audio controller."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,htop-vim-git,"provides system usage information and displays processes."
,maim,"can take quick screenshots at your request."
,socat,"is a socket utility."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
,w3m,"is a terminal browser which can also view images."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,python-ueberzug,"generates image previews in vifm and other terminal programs."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used by vifm as well."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
,docx2txt,"enables .docx file previews in vifm."
,odt2txt,"enables .odt file previews in vifm."
,transmission-cli,"bittorrent client - command line interface."
A,transmission-remote-cli-git,"command line git client. Works with transmission-cli."
,youtube-viewer,"command line youtube viewer."
,expac,"utility to extract info from pacman database."
,mupdf,"framework for rendering pdfs and epubs."
,zsh,"z-shell."
,lsb-release,"find linux standard base info. Used by zsh."
,libreoffice-fresh,"libreoffice suite."
,python-pip,"python library installation tool."
,ffmpeg,"suite of tools and libraries for handling audio and video files."
,imagemagick,"software suite for vector and rastor images. Can read over 200 image types."
,urlscan,"Mutt and terminal url selector."
,i3blocks,"define status blocks for i3bar status line."
,emacs,"Hey, it's Emacs. What's more to say. Great operating system, just needs an editor. Using Spacemacs."
,ctags,"tags for programming."
,gimp,"GNU Image Manipulation Program. Kind of a open source Photoshop."
,linux-lts,"Linux long term support kernel."
,linux-lts-headers,"Header for lts kernel."
,ripgrep,"like grep but faster."
,fd,"improved version of find. Used by something else, can't remember what!"
,editorconfig-core-c,"maintain consistent styles between different editors."
,wget,"non-interactive file downloader."
,python-pygments,"syntax highlighting engine written in python."
,aspell-en,"spell checking dictionary used by emacs."
,pandoc,"document converter."
,shellcheck,"checks shell scripts for errors and portability problems."
,youtube-dl,"command line youtube video downloader."
,dash,"small posix compliant shell. Link to sh for posix compliant shell scripts."
,thunderbird,"email, news, calendar and tasks from mozilla."
A,urlview-git,"curses URL parser for text files."
A,xurls,"extracts urls from plain text."
A,timeshift,"system backup and restore utility."
A,global,"source code tag system (gtags)."
A,bashate,"shell script syntax checker. Used by spacemacs in shell-script layer."
